Gender,Age,Height,Weight,family_history_with_overweight,eat_junk_food,eat_vegetables,meals_per_day,eat_refreshment,SMOKE,water_consumption,track_calories,workout,screen_time,alcohol,transportation_type,normal_weight,metric
Female,42.586285,1.571417,81.918809,yes,yes,2.522183,1.326982,Sometimes,no,1.872673,no,1.048507,0,no,Automobile,no,EU
Female,20,64.960665,165.3465,yes,yes,3,1,Sometimes,no,2,no,1,1,no,Public_Transportation,no,USA
Male,17.491272,1.834637,59.990861,yes,yes,2.943749,4,Sometimes,no,2,no,2,0.128895,no,Automobile,no,EU
Female,18.019572,1.701378,50.088468,no,yes,1.601236,3.433908,Sometimes,no,1.055019,no,0.819269,1.030848,Sometimes,Public_Transportation,no,EU
Male,18,69.5692501658,112.72841337758,yes,yes,2.708965,3,Sometimes,no,1.873004,no,1.21718,1,Sometimes,Public_Transportation,no,USA
Female,20.217015,1.71582,129.466541,yes,yes,3,3,Sometimes,no,1.755907,no,1.48809,0.857718,Sometimes,Public_Transportation,no,EU
Female,22,1.65,58,yes,yes,3,4,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,yes,EU
Female,21,1.5,65,yes,no,2,3,Sometimes,no,2,no,2,2,Sometimes,Public_Transportation,no,EU
Female,19.872667,1.817231,152.371911,yes,yes,3,3,Sometimes,no,2.305521,no,1.956278,0.92376,Sometimes,Public_Transportation,no,EU
Female,18,66.92917,110.231,no,no,2,3,Sometimes,no,2,no,0,1,Sometimes,Walking,no,USA
Male,23.975685,1.840039,120.975489,yes,yes,2.598207,2.849347,Sometimes,no,2.006167,no,1.52001,0.295685,Sometimes,Public_Transportation,no,EU
Male,23,1.77,60,yes,yes,3,1,Sometimes,no,1,no,1,1,Sometimes,Public_Transportation,yes,EU
Female,22.538932,63.1481837063,180.80669978294,yes,yes,1.123672,1.014916,Sometimes,no,2.042078,no,1.846666,1.426103,no,Public_Transportation,no,USA
Female,26.7687164353428,64.6860256809275,245.402678354753,yes,yes,3,3.01772591469488,Sometimes,no,2.65113271031296,no,-0.063917426531348,0.249135066501572,Sometimes,Public_Transportation,no,USA
Female,21.083001174484,59.9220043618023,94.5487178163024,no,no,3,0.952731483386873,Frequently,no,0.981020161039522,no,0.012792022075961,-0.039385599469182,Sometimes,Public_Transportation,no,USA
Female,40.702771,60.9607809503,176.3696,yes,yes,2,3,Sometimes,no,1.326165,no,0,0,Sometimes,Automobile,no,USA
Female,20.089969,70.9243690078,333.81759028904,yes,yes,3,3,Sometimes,no,2.226081,no,1.881761,0.933964,Sometimes,Public_Transportation,no,USA
Male,36.8863788499658,67.2727661960474,239.280352393743,yes,yes,2.549782,4.00659525895279,Sometimes,no,0.943996131845714,no,1.98241093671435,-0.048017460895975,no,Public_Transportation,no,USA
Male,30.796262,1.668478,100.543983,yes,yes,2.9553,2.378211,Sometimes,no,1,no,1.738267,0.394533,no,Public_Transportation,no,EU
Male,23.3665284979897,73.6122454920179,261.826067948194,yes,yes,2.630137,2.77069752201788,Sometimes,no,1.98610785099177,no,1.31469963001094,0.032395598432059,Sometimes,Public_Transportation,no,USA
Female,18.288205,1.713564,50,no,yes,1.140615,3.471536,Sometimes,no,1,no,2,1,Sometimes,Public_Transportation,no,EU
Male,18.4533046035096,67.7637742780428,113.520220644941,yes,yes,2.33998,3.04357916874997,Sometimes,no,1.96391161696704,no,0.071611447871544,1.88415879093578,Sometimes,Public_Transportation,no,USA
Male,17.671064,1.854706,59.20945,yes,yes,2.707666,3.737914,Sometimes,no,2.026547,no,2.009397,0.613971,no,Automobile,no,EU
Female,33,61.417356,105.82176,yes,no,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,yes,USA
Male,30.62865,1.766975,118.363376,yes,yes,2.964319,3,Sometimes,no,2.377257,no,0.614959,1.875023,Sometimes,Automobile,no,EU
Male,31.56724,1.753327,118.26569,yes,yes,2.232836,3,Sometimes,no,2.146398,no,0.886817,0.47787,Sometimes,Automobile,no,EU
Female,19,1.540375,42.006282,no,no,2.938031,2.705445,Frequently,no,1.333807,yes,1.877369,0.370973,Sometimes,Public_Transportation,no,EU
Male,24.178638,73.520118441,268.26766571682,yes,yes,2.954417,2.65772,Sometimes,no,2.104696,no,0.870056,0,Sometimes,Public_Transportation,no,USA
Female,20.8089554856199,1.73353554515139,136.93352086838,yes,yes,3,3.02685294158787,Sometimes,no,1.64477318320266,no,1.12205091141304,0.7820995030592,Sometimes,Public_Transportation,no,EU
Female,21.951309,1.730167,78.429312,yes,yes,2.138334,1,Sometimes,no,2,no,2.269058,0,Sometimes,Public_Transportation,no,EU
Female,39.135634,59.3648745767,175.4647798596,yes,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,no,USA
Female,26,64.0347983583,245.50000602644,yes,yes,3,3,Sometimes,no,2.61939,no,0,0.171034,Sometimes,Public_Transportation,no,USA
Male,24.481032,65.4046416177,200.0581647383,yes,yes,1.712848,3,Sometimes,no,1.162153,no,0.458981,0.885532,no,Automobile,no,USA
Male,33,72.834685,215.877162017,yes,yes,2,3,Sometimes,no,1.117464,no,1,0.663649,Sometimes,Public_Transportation,no,USA
Female,20,1.62,53,no,yes,3,1,Sometimes,no,3,no,1,1,no,Public_Transportation,yes,EU
Female,26.2773405638424,1.66467525650808,112.596662149406,yes,no,3,2.97608323773832,Sometimes,no,3.07950141680152,no,-0.030248403286353,-0.038671683387651,no,Automobile,no,EU
Male,17,1.848294,59.409018,yes,yes,2.44004,3,Sometimes,no,2,no,2.784471,1,no,Automobile,no,EU
Female,18.874591,1.533609,41.669346,no,yes,2.762325,1.163666,Sometimes,no,1.30491,no,0.25289,1.001405,Sometimes,Public_Transportation,no,EU
Male,41,68.897675,242.5082,yes,no,2,1,Sometimes,no,1,no,1,0,Frequently,Automobile,no,USA
Female,18,61.417356,112.43562,yes,yes,2,4,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,yes,USA
Male,18,67.672871189,114.7688465077,yes,yes,1.950742,3,Sometimes,no,1.751723,no,0.201136,1.743319,Sometimes,Public_Transportation,no,USA
Male,23,66.141768,154.3234,no,yes,2,3,Sometimes,no,2,no,2,2,Frequently,Walking,yes,USA
Female,18.985119,1.759117,80,yes,yes,2,1.411808,Sometimes,no,2.651194,no,2.878414,0.953841,no,Public_Transportation,no,EU
Male,18,1.783906,109.207614,yes,yes,2,1.867836,Sometimes,no,2.438398,no,1,0.802305,no,Public_Transportation,no,EU
Male,20.9147395112225,1.626496081549,68.7216820524346,no,yes,2,0.968601915630684,no,no,3.02572925418352,no,0.98390990637674,0.02226956310601,Sometimes,Public_Transportation,no,EU
Female,18,1.498561,55.376512,no,yes,2,3,Sometimes,no,1.274718,yes,0.129902,0.978574,Sometimes,Public_Transportation,no,EU
Female,22.693989,64.0909007508,180.77884,yes,yes,1.918251,1.355752,Sometimes,no,1.998108,no,0,1.382906,Sometimes,Public_Transportation,no,USA
Male,20.9859,1.780503,103.189532,yes,yes,2,3,Sometimes,no,1.608128,no,0.478134,0,no,Public_Transportation,no,EU
Female,22.9230275300768,68.1466063810385,119.381889390382,yes,yes,3,2.98179899327755,Frequently,no,2.01472259338058,no,1.28990523772446,0.447949472216647,no,Public_Transportation,no,USA
Male,18,66.92917,121.2541,yes,yes,2,3,Frequently,no,2,no,0,0,Sometimes,Public_Transportation,yes,USA
Female,23.76197,66.588618635,252.38643201552,yes,yes,3,3,Sometimes,no,2.509535,no,0.334264,0.668172,Sometimes,Public_Transportation,no,USA
Male,21,1.8,62,yes,yes,3,3,Sometimes,no,2,no,1,0,no,Public_Transportation,yes,EU
Male,20,74.80319,200.62042,yes,yes,3,4,Sometimes,no,3,no,2,0,Sometimes,Walking,no,USA
Female,25.8287786306396,1.62757822232294,105.260486828119,yes,yes,3,2.96827663671591,Sometimes,no,2.45231490363975,no,0.093823537135692,0.682753098011143,Sometimes,Public_Transportation,no,EU
Female,26,62.3578683189,243.71055124636,yes,yes,3,3,Sometimes,no,2.578292,no,0,0.492394,Sometimes,Public_Transportation,no,USA
Female,20.254534,1.56948,41.324558,no,yes,2.392665,1,Frequently,no,1,no,0,0.738269,Sometimes,Public_Transportation,no,EU
Male,25.542454,1.763215,115.10813,yes,yes,2.21965,3,Sometimes,no,2.165408,no,1.315045,0.688985,Sometimes,Public_Transportation,no,EU
Male,40.564513,1.748015,109.758736,yes,yes,2.310751,3.220181,Sometimes,no,1.006643,no,1.15804,0,no,Automobile,no,EU
Male,28.825279,71.4703929247,265.43571448196,yes,yes,2.9673,3,Sometimes,no,2.530035,no,1.045107,0.947866,Sometimes,Automobile,no,USA
